Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0obzwoGjXdORtAwYWZ9s53,"Grade 8","+","Ed Sheeran",2011-09-09,179880,51,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.74,0.807,0,-9.976,0,0.0363,0.0446,0.0000402,0.0538,0.781,101.042,4
spotify:track:0ygAYQQy7bfDN6gH640bbl,"Wake Me Up","+","Ed Sheeran",2011-09-09,229613,52,true,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.616,0.209,9,-13.43,1,0.406,0.902,0,0.139,0.336,86.891,1
spotify:track:4z1O25cq9g2kuJemmUxc21,"Small Bump","+","Ed Sheeran",2011-09-09,259413,60,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.81,0.436,10,-12.683,1,0.0717,0.689,0.000151,0.11,0.446,119.973,4
spotify:track:0pJfsPQesJyCnR5XWZyvj9,"This","+","Ed Sheeran",2011-09-09,195840,52,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.588,0.0929,11,-14.301,1,0.0443,0.95,0.00539,0.128,0.502,152.139,4
spotify:track:4ucfQOYOe1Jz5KqCfpGobp,"The City","+","Ed Sheeran",2011-09-09,234333,49,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.74,0.505,4,-10.338,0,0.0674,0.0415,0.0000682,0.0707,0.646,97.994,4
spotify:track:5ubHAQtKuFfiG4FXfLP804,"Lego House","+","Ed Sheeran",2011-09-09,185093,73,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.592,0.637,11,-8.48,1,0.0992,0.562,0,0.13,0.565,159.701,4
spotify:track:5KL4iZkCTZyXl7KnHgfVDj,"You Need Me, I Don't Need You","+","Ed Sheeran",2011-09-09,220413,63,true,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.749,0.837,7,-8.837,1,0.0512,0.162,0,0.525,0.927,103.483,4
spotify:track:0Tel1fmuCxEFV6wBLXsEdk,"Kiss Me","+","Ed Sheeran",2011-09-09,280853,67,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.589,0.227,2,-16.67,1,0.0498,0.64,0.00469,0.0248,0.182,74.993,4
spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,"Give Me Love","+","Ed Sheeran",2011-09-09,526386,71,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.526,0.328,1,-9.864,1,0.0461,0.694,0,0.112,0.11,116.068,4
spotify:track:7iBSkXB0pTvZasOLf0Qxk9,"Autumn Leaves - Deluxe Edition","+","Ed Sheeran",2011-09-09,200755,54,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.555,0.257,10,-12.637,1,0.0299,0.892,0.00000142,0.124,0.431,89.013,4
spotify:track:4bcgRbGeq4IejesjsiHyTH,"Little Bird - Deluxe Edition","+","Ed Sheeran",2011-09-09,224528,51,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.843,0.425,8,-8.676,1,0.0352,0.565,0,0.102,0.284,104.02,4
spotify:track:4mT5mVFaU7trA3UdbGqfB9,"Gold Rush - Deluxe Edition","+","Ed Sheeran",2011-09-09,243162,50,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.74,0.248,4,-12.659,1,0.109,0.729,0,0.141,0.889,83.786,4
spotify:track:66qlqxhEMpSHOzjRK4il0b,"Castle on the Hill","Castle on the Hill","Ed Sheeran",2017-01-06,261153,3,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.461,0.834,2,-4.868,1,0.0989,0.0232,0.0000114,0.14,0.471,135.007,4
spotify:track:5X6TnKT37TaSDkFm0598Uo,"Castle on the Hill - Acoustic","Castle on the Hill (Acoustic)","Ed Sheeran",2017-02-10,226226,55,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.563,0.26,2,-5.856,1,0.0391,0.518,0,0.146,0.616,145.561,4
spotify:track:2RttW7RAu5nOAfq6YFvApB,"Happier","÷ (Deluxe)","Ed Sheeran",2017-03-03,207520,77,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,4
spotify:track:0FE9t6xYkqWXU2ahLh6D8X,"Shape of You","Shape of You","Ed Sheeran",2017-01-06,233712,7,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
spotify:track:0xCA70t1ZA4fa9UOE0lIJm,"I'm a Mess","x (Deluxe Edition)","Ed Sheeran",2014-06-21,244573,62,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.697,0.377,3,-7.755,1,0.0397,0.556,0,0.0999,0.336,138.754,4
spotify:track:3GKSfF6c3Rv3a1knSjxnXa,"Nina","x (Deluxe Edition)","Ed Sheeran",2014-06-21,225533,56,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.791,0.669,6,-7.189,0,0.146,0.175,0,0.33,0.809,92.013,4
spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,"Photograph","x (Deluxe Edition)","Ed Sheeran",2014-06-21,258986,88,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
spotify:track:1gHF0I223J5pv06SuBcmkz,"The Man","x (Deluxe Edition)","Ed Sheeran",2014-06-21,250426,52,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.759,0.725,11,-7.006,0,0.158,0.576,0,0.0771,0.619,87.467,4
spotify:track:34gCuhDGsG4bRPIf9bb02f,"Thinking out Loud","x (Deluxe Edition)","Ed Sheeran",2014-06-21,281560,86,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
spotify:track:7awwmuGslmuyhnlpFipDqk,"Shirtsleeves","x (Deluxe Edition)","Ed Sheeran",2014-06-21,190226,52,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.752,0.76,2,-5.34,1,0.0341,0.319,0,0.335,0.752,107.034,4
spotify:track:0N5zjRnf8AreOm95iSBXF4,"Even My Dad Does Sometimes","x (Deluxe Edition)","Ed Sheeran",2014-06-21,228533,53,false,quirky613,2026-06-25T23:59:43Z,"retro soul","Atlantic Records UK",0.58,0.318,2,-8.926,1,0.0279,0.756,0.000171,0.117,0.295,129.757,3
