Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4D2DFuqs2PwLiHbcf6CX47,"Hampstead","eternal sunshine deluxe: brighter days ahead","Ariana Grande",2025-03-28,216264,78,true,quirky613,2026-06-25T23:52:21Z,"","Republic Records",0.61,0.265,0,-7.668,1,0.0262,0.893,0,0.159,0.145,96.871,4
spotify:track:1UNEuG9DYOWiikf00ayr52,"Love Me Not","Love Me Not / Love Is Blind","Ravyn Lenae",2024-05-03,213466,88,false,quirky613,2026-06-25T23:52:27Z,"celtic rock","Atlantic Records",0.786,0.741,0,-6.147,1,0.0309,0.293,0,0.132,0.816,113.98,4
spotify:track:1wJL1A0QUHJPf2cm7tsrdw,"Never Grow Up","Speak Now","Taylor Swift",2010-10-25,290466,52,false,quirky613,2026-06-25T23:52:34Z,"soul,soul blues,blues,classic soul,vocal jazz","Taylor Swift",0.714,0.305,2,-8.837,1,0.0305,0.819,0,0.174,0.554,124.91,4
spotify:track:2N0gEw1fIkOi44xDtquRqT,"Someday We'll Be Together","Motown: The Complete No. 1's","Diana Ross & The Supremes",2008-01-01,211773,0,false,quirky613,2026-06-25T23:54:30Z,"alternative r&b,indie soul","Universal/Island Def Jam",0.676,0.705,1,-6.796,1,0.0278,0.108,0.00000272,0.0565,0.805,107.214,4
spotify:track:6CQaVuICm1WVXyy3SZ5jEI,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","Back To Black: B-Sides","Amy Winehouse",2007-01-01,233733,0,false,quirky613,2026-06-25T23:58:47Z,"pop","Universal-Island Records Ltd.",0.757,0.367,5,-5.759,0,0.0354,0.736,0,0.157,0.681,96.008,4
spotify:track:65B1tEOv5W294uCKbmEcFV,"I Hope You Dance","I Hope You Dance","Lee Ann Womack",2000-05-23,294533,69,false,quirky613,2026-06-26T00:00:24Z,"","MCA Nashville",0.388,0.443,7,-9.627,0,0.0295,0.0632,0,0.0898,0.276,151.071,4
spotify:track:3i6qNxyVgIdUZTTi5m25EM,"Bitch","Blurring The Edges","Meredith Brooks",1997-01-01,252760,77,false,quirky613,2026-06-26T00:00:24Z,"","Capitol Records",0.617,0.886,9,-5.953,1,0.0551,0.0113,0.0000927,0.0523,0.645,96.328,4
spotify:track:64k3qg5AwnINfBXmCJOHA3,"Love Is A Battlefield","Best Shots","Pat Benatar",1989-01-01,323493,47,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.679,0.705,2,-8.939,0,0.049,0.0851,0.000969,0.0674,0.868,90.597,4
spotify:track:1ck0egXsVmSgZLO1BqOgcS,"Promises In The Dark","Best Shots","Pat Benatar",1989-01-01,289400,19,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.341,0.695,5,-9.16,1,0.0405,0.135,0.00125,0.0572,0.428,159.583,4
spotify:track:4WhumxqFKoY1dg3BvLQSUd,"One Love (Song Of The Lion)","Best Shots","Pat Benatar",1989-01-01,313400,14,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.622,0.545,10,-10.286,1,0.036,0.0317,0.00463,0.325,0.718,95.18,4
spotify:track:0pC6sM6FAyVVTkdC9oiedG,"All Fired Up","Best Shots","Pat Benatar",1989-01-01,271040,26,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.671,0.876,0,-8.652,1,0.0476,0.0876,0.000194,0.121,0.505,148.005,4
spotify:track:2Yq5p7LqbEsdWxvfPaeuDh,"We Live For Love","Best Shots","Pat Benatar",1989-01-01,235125,16,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.56,0.729,6,-8.972,1,0.0364,0.0564,0.0112,0.146,0.714,134.83,4
spotify:track:6DMDIFOqIG36FpoxzaIixj,"Hell Is For Children","Best Shots","Pat Benatar",1989-01-01,292866,16,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.431,0.664,0,-9.787,0,0.0453,0.062,0.000558,0.0425,0.498,132.621,4
spotify:track:2Oen23iUJJ8n87iGE5Nhvb,"Shadows Of The Night","Best Shots","Pat Benatar",1989-01-01,262000,22,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.524,0.742,6,-8.356,1,0.0329,0.194,0.00000114,0.327,0.528,111.863,4
spotify:track:1y33XbWVwZvhU1kBJhPQLu,"Hit Me With Your Best Shot","Best Shots","Pat Benatar",1989-01-01,172306,27,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.732,0.571,4,-9.647,1,0.0307,0.0676,0.00000668,0.174,0.919,127.389,4
spotify:track:0yCRECRoVoks2HjqKZA2y1,"We Belong","Best Shots","Pat Benatar",1989-01-01,222866,22,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.717,0.385,5,-11.629,1,0.0558,0.591,0.00000652,0.18,0.296,135.15,4
spotify:track:6y2O6cYyyAaUwbnghbqoNl,"Invincible","Best Shots","Pat Benatar",1989-01-01,269733,23,false,quirky613,2026-06-26T00:00:39Z,"","Chrysalis\EMI Records (USA)",0.565,0.825,11,-9.948,0,0.0516,0.0155,0.00201,0.32,0.754,124.869,4
