Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:62bOmKYxYg7dhrC6gH9vFn,"Bye Bye Bye","No Strings Attached","*NSYNC",2000-03-21,200400,84,false,quirky613,2026-06-26T00:10:21Z,"","Jive",0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,4
spotify:track:054oZtOkQztuU2mVTgeUtY,"Still Smiling","Free","Cody Simpson",2015-07-10,196693,17,false,quirky613,2026-06-26T00:10:21Z,"","Bananabeat Records / Coast House",0.673,0.694,0,-6.582,1,0.0413,0.329,0,0.253,0.465,85.486,4
spotify:track:6CLx4X6ovfxFwcBbr5vv59,"Wait On Me","Let The Road","Rixton",2014-01-01,237866,53,false,quirky613,2026-06-26T00:10:21Z,"","Silent Records/Giant Little Man",0.645,0.725,11,-5.285,0,0.0367,0.0976,0,0.394,0.472,91.001,4
spotify:track:2s5B2qJSK8kbFyFRiRq06b,"Hotel Ceiling","Let The Road","Rixton",2014-01-01,190706,52,false,quirky613,2026-06-26T00:10:21Z,"","Silent Records/Giant Little Man",0.655,0.731,10,-7.76,1,0.03,0.159,0,0.107,0.519,105.026,4
spotify:track:6eDApnV9Jdb1nYahOlbbUh,"One Time","My World","Justin Bieber",2009-01-01,215866,84,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.691,0.853,1,-2.528,0,0.0372,0.0631,0.000067,0.082,0.762,145.999,4
spotify:track:69ghzc538EQSVon2Gm3wrr,"One Less Lonely Girl","My World","Justin Bieber",2009-01-01,229106,86,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.555,0.75,4,-4.424,1,0.204,0.159,0,0.274,0.726,86.84,4
spotify:track:4bPeekGfzuqkmlpKiJur5o,"First Dance","My World","Justin Bieber;USHER",2009-01-01,222333,61,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.646,0.521,11,-7.29,1,0.0401,0.0137,0,0.275,0.333,68.495,4
spotify:track:6epn3r7S14KUqlReYr77hA,"Baby","My World 2.0","Justin Bieber;Ludacris",2010-01-01,214240,92,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
spotify:track:3rLIv187BhjyweFe89SgLn,"Somebody To Love","My World 2.0","Justin Bieber",2010-01-01,220920,82,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.714,0.833,5,-5.239,1,0.0259,0.00249,0,0.298,0.663,129.964,4
spotify:track:1DyV9obL0pPibOjW5ufg15,"Stuck In The Moment","My World 2.0","Justin Bieber",2010-01-01,222960,72,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.721,0.698,0,-6.353,0,0.0526,0.165,0,0.133,0.365,89.987,4
spotify:track:6Xw2FLih8m5ItDbyP992HH,"U Smile","My World 2.0","Justin Bieber",2010-01-01,196906,70,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.705,0.59,1,-5.308,1,0.0284,0.504,0,0.116,0.421,112.565,3
spotify:track:0aPZbnkMoWJaJ5CNVLCj8S,"That Should Be Me","My World 2.0","Justin Bieber",2010-01-01,232720,88,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.552,0.603,8,-5.71,1,0.0334,0.199,0,0.151,0.231,139.907,4
spotify:track:5GYbkDveRD2I8M5ZJ14hWn,"Never Say Never","Never Say Never - The Remixes","Justin Bieber;Jaden",2011-01-01,227853,86,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.739,0.807,0,-5.063,1,0.0652,0.0181,0,0.295,0.632,97.048,4
spotify:track:5YNf9s8WE3iF33YaFNrgpa,"What Do You Mean? - Acoustic","Purpose (Deluxe)","Justin Bieber",2015-11-13,203800,61,false,quirky613,2026-06-26T00:10:21Z,"","RBMG/Def Jam",0.772,0.358,8,-10.634,1,0.0438,0.794,0,0.104,0.759,124.926,4
spotify:track:1Ddj6nkhUP3lHpLvDqPsvC,"Strip That Down - Acoustic","Strip That Down (Acoustic)","Liam Payne",2017-06-16,184475,48,false,quirky613,2026-06-26T00:10:21Z,"old school hip hop,east coast hip hop","Capitol Records UK / EMI",0.88,0.38,6,-7.811,1,0.0605,0.639,0,0.124,0.912,105.982,4
spotify:track:27vTihlWXiz9f9lJM3XGVU,"Slow Hands","Slow Hands","Niall Horan",2017-05-04,188174,55,false,quirky613,2026-06-26T00:10:21Z,"","Capitol Records (US1A)",0.735,0.423,0,-6.652,1,0.0459,0.011,0,0.0553,0.851,85.899,4
spotify:track:4OBZT9EnhYIV17t4pGw7ig,"Best Part (feat. H.E.R.)","H.E.R.","Daniel Caesar;H.E.R.",2017-10-20,209388,69,false,quirky613,2026-06-26T00:11:16Z,"future bass","MBK Entertainment/RCA Records",0.473,0.371,4,-10.219,0,0.0405,0.793,0,0.109,0.413,75.205,4
spotify:track:1MQCTOWVfy4PcuBXkBsHVB,"Just a Friend","Just a Friend - EP","Biz Markie",2009-06-11,238266,65,false,quirky613,2026-06-26T00:14:33Z,"","Rhino",0.862,0.663,0,-9.004,1,0.21,0.12,0,0.318,0.837,85.308,4
spotify:track:7zsXy7vlHdItvUSH8EwQss,"Cold Water","Cold Water","Major Lazer;Justin Bieber;MØ",2016-07-22,185360,75,false,quirky613,2026-06-26T00:14:33Z,"","Mad Decent PS (Bieber/Major Lazer)",0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.5,92.946,4
spotify:track:5wldXGLEOoRXxMWJ8rIUWE,"Lean On","Peace Is The Mission","Major Lazer;MØ;DJ Snake",2015-06-01,176561,2,false,quirky613,2026-06-26T00:14:33Z,"","Mad Decent",0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4
spotify:track:5ZEM9j0jrFr5RdHEbl2MYV,"Sex","Sex","Cheat Codes;Kris Kross Amsterdam",2016-03-07,228361,0,true,quirky613,2026-06-26T00:14:33Z,"hollands,old school hip hop,southern hip hop,gangster rap,g-funk,hardcore hip hop","disco:wax",0.51,0.692,0,-5.825,1,0.171,0.00451,0,0.138,0.209,102.42,4
